value	row_factor	column_factor
1241894	2	620947
1241895	15	82793
1241895	413965	3
1241896	10706	116
1241896	155237	8
1241897	65363	19
1241898	7	177414
1241899	61	20359
1241900	248380	5
1241901	51	24351
1241902	358	3469
1241903	13	95531
1241904	1	1241904
1241905	9065	137
1241905	33565	37
1241906	2	620953
1241906	6977	178
1241907	1509	823
1241907	2469	503
1241908	4	310477
1241908	23	53996
1241909	1279	971
1241910	9	137990
1241910	41397	30
1241911	112901	11
1241912	268	4634
1241912	2648	469
1241913	413971	3
1241914	2	620957
1241915	1667	745
1241916	156	7961
1241916	21788	57
1241917	227	5471
1241918	73054	17
1241919	63	19713
1241920	155240	8
