value	row_factor	column_factor
2368683	81	29243
2368684	797	2972
2368685	11	215335
2368685	43067	55
2368686	633	3742
2368687	251	9437
2368688	8	296086
2368689	1	2368689
2368690	5	473738
2368691	81679	29
2368692	65797	36
2368693	41	57773
2368694	1184347	2
2368695	3	789565
2368695	357	6635
2368695	46445	51
2368695	157913	15
2368696	121	19576
2368696	2447	968
2368697	11903	199
2368698	43	55086
2368699	17041	139
2368700	50	47374
2368700	592175	4
2368701	11443	207
2368702	14	169193
2368702	16681	142
2368703	37	64019
2368704	3	789568
2368704	1014	2336
2368705	5	473741
2368706	223	10622
2368706	226	10481
2368706	20962	113
2368707	13233	179
2368708	1184354	2
2368709	338387	7
2368710	62	38205
2368710	283	8370
2368711	19	124669
2368712	8	296089
2368712	17417	136
