step	record_gap
0	0
1	0
1	2
3	2
3	3
8	3
8	5
22	5
22	6
43	6
43	8
270	8
270	9
328	9
328	10
348	10
348	11
459	11
459	12
1428	12
1428	14
3386	14
3386	16
6759	16
6759	17
10988	17
10988	18
21404	18
21404	19
46887	19
46887	20
91320	20
91320	21
92319	21
92319	23
167877	23
167877	26
245404	26
245404	27
464333	27
464333	31
