value	row_factor	column_factor
451019	31	14549
451020	90204	5
451021	2767	163
451022	418	1079
451023	447	1009
451023	150341	3
451024	4	112756
451024	4027	112
451025	25	18041
451026	18	25057
451027	617	731
451028	2	225514
451029	150343	3
451030	12190	37
451031	7	64433
451032	4	112758
451032	56379	8
451033	3443	131
451034	61	7394
451035	9	50115
451036	2	225518
451037	29	15553
451038	42	10739
451038	32217	14
451038	150346	3
451039	1	451039
451040	4	112760
451040	2819	160
451041	579	779
451041	7913	57
451042	218	2069
