value	row_factor	column_factor
3760928	4	940232
3760929	9	417881
3760930	18346	205
3760931	7477	503
3760932	42	89546
3760932	44773	84
3760933	6451	583
3760934	2	1880467
3760935	471	7985
3760935	4791	785
3760936	109	34504
3760936	227	16568
3760937	23	163519
3760938	1542	2439
3760939	1117	3367
3760940	16004	235
3760941	71	52971
3760942	2	1880471
3760943	1	3760943
3760944	187	20112
3760944	204	18436
3760945	752189	5
3760946	7	537278
3760947	9	417883
3760947	1253649	3
3760948	12836	293
3760949	8123	463
3760950	15	250730
3760950	25	150438
3760950	150	25073
3760950	75219	50
3760950	125365	30
3760951	31	121321
3760952	87464	43
3760953	1659	2267
3760953	47607	79
3760953	1253651	3
3760954	2	1880477
3760954	863	4358
3760955	3355	1121
3760955	752191	5
3760956	4	940239
3760956	18	208942
