gap	step	singleton_share	tiny_share	balanced_share	skipped_primes
13	866	0.8333333333333334	0.6666666666666666	0.0	1
17	2063	0.875	0.5	0.0	0
19	8475	0.8333333333333334	0.5	0.05555555555555555	1
20	27676	0.8947368421052632	0.47368421052631576	0.05263157894736842	0
21	29373	0.8	0.45	0.15	0
25	92320	0.75	0.4166666666666667	0.2916666666666667	1
28	247399	0.6666666666666666	0.37037037037037035	0.3333333333333333	0
30	729353	0.6551724137931034	0.3448275862068966	0.4482758620689655	0
