label	largest_record_gap	record_gap_count	mean_seconds	ci95_half_width_seconds
baseline	30	17	9.943577157333493	0.38377042682219065
row-immediate	30	17	9.975029548000444	0.24338228544152363
column-immediate	31	20	9.627892714999993	0.27490278703721027
