gap	singleton_share	tiny_share	balanced_share
13	0.833333333333	0.666666666667	0.000000000000
17	0.875000000000	0.500000000000	0.000000000000
19	0.833333333333	0.500000000000	0.055555555556
20	0.894736842105	0.473684210526	0.052631578947
21	0.800000000000	0.450000000000	0.150000000000
25	0.750000000000	0.416666666667	0.291666666667
28	0.666666666667	0.370370370370	0.333333333333
30	0.655172413793	0.344827586207	0.448275862069
