baseline_row	baseline_col	row_immediate_row	row_immediate_col	column_immediate_row	column_immediate_col
1001	1002	1001	1002	1002	1001
1003	1005	1003	1005	1005	1003
1007	1009	1007	1009	1009	1007
1010	1011	1010	1011	1011	1010
1013	1014	1013	1014	1014	1013
1015	1017	1015	1017	1017	1015
1018	1019	1018	1019	1019	1018
1021	1022	1021	1022	1022	1021
1030	1031	1030	1031	1031	1030
1032	1033	1032	1033	1033	1032
1036	1038	1036	1038	1038	1036
1039	1042	1039	1042	1042	1039
1048	1049	1048	1049	1049	1048
1051	1052	1051	1052	1052	1051
1054	1055	1054	1055	1055	1054
1059	1060	1059	1060	1060	1059
1061	1063	1061	1063	1063	1061
1065	1066	1065	1066	1066	1065
1069	1070	1069	1070	1070	1069
1077	1079	1077	1079	1079	1077
1084	1085	1084	1085	1085	1084
1087	1091	1087	1091	1091	1087
1093	1096	1093	1096	1096	1093
1097	1098	1097	1098	1098	1097
1101	1103	1101	1103	1103	1101
1105	1106	1105	1106	1106	1105
1109	1111	1109	1111	1111	1109
1113	1115	1113	1115	1115	1113
1117	1118	1117	1118	1118	1117
1119	1121	1119	1121	1121	1119
1123	1124	1123	1124	1124	1123
1127	1129	1127	1129	1129	1127
1130	1131	1130	1131	1131	1130
1133	1137	1133	1137	1137	1133
1138	1142	1138	1142	1142	1138
1143	1145	1143	1145	1145	1143
1148	1151	1148	1151	1151	1148
1153	1154	1153	1154	1154	1153
